NAME,STATEFP,avg_drought_severity,percent_drought_area,lisa_map
Kiowa,40,3.751710740725022,100.00000000000013,1
Lake,46,1.5443601795039124,99.99999999999979,0
Caswell,37,3.0000000000000067,100.00000000000023,1
Presidio,48,1.1795567247940568,99.84164064706485,0
Greene,39,0.0,0.0,3
Willacy,48,0.7625905382362401,76.25905382362401,0
Los Alamos,35,1.9999999999999987,99.99999999999993,0
Choctaw,40,0.8303857815872757,99.99999999999937,0
Dickinson,20,0.0,8.563012961661551,3
Starr,48,0.0,47.2730223313345,0
Effingham,13,4.000000000000005,100.00000000000013,1
Roger Mills,40,3.0167007200277776,99.99999999999996,1
Richland,55,0.0,0.0,3
Lea,35,1.5629274290734705,99.99999999999982,0
Lamar,01,0.0,99.99999999999991,3
Marshall,47,1.0000000000000002,100.00000000000003,0
Appomattox,51,3.0000000000000027,100.00000000000009,1
Madison,05,1.2098004945395222,100.00000000000009,0
St. Charles,22,0.9997412369500078,100.00000000000004,0
Poinsett,05,2.86533542146273,100.00000000000007,1
Gulf,12,2.2149152692978022,71.8902387501322,1
Hamblen,47,0.9999999999999994,99.99999999999994,0
Ballard,21,1.9409368088078882,99.99999999999977,0
Archer,48,0.02786504768951574,32.26852281783414,0
Baylor,48,0.33060331988447955,95.57579696393165,0
San Augustine,48,1.1808919871204677,99.99999999999952,0
Storey,32,0.0,100.00000000000017,0
Schley,13,2.982094464727462,100.00000000000003,1
Madison,48,0.0,99.99999999999983,3
San Joaquin,06,0.0,3.706654027490419,3
Winston,28,1.2184304113673219,100.00000000000013,0
Henry,21,0.0,0.0,3
Mercer,21,1.7459316656589818,99.99999999999991,0
Wheeler,31,2.9040526263513984,99.99999999999993,1
Lewis,21,0.0,10.613062766927332,3
Grant,27,0.0,0.0,3
Humphreys,28,2.952372555878339,99.99999999999993,1
Clarke,01,1.000000148415376,99.99999999999999,0
Chase,20,0.0,10.999296212693272,3
Trigg,21,2.000000000000002,100.00000000000011,0
Jasper,19,0.0,0.0,3
Wayne,28,0.24144464441216154,99.99999999999997,0
Cottle,48,2.5589155960562864,99.9999999999998,1
Greensville,51,2.122123435040671,99.99999999999991,1
Polk,12,2.303144852632194,100.00000000000075,1
Young,48,0.0,0.0,3
Tallapoosa,01,1.5095154130715356,99.99999999999984,0
Rockingham,33,1.790430139667488,89.53366748292544,0
Rio Grande,08,2.9745656611241995,100.00000000000004,1
Plymouth,19,0.5358269223994719,100.00000000000011,0
Yates,36,0.0,0.0,3
King,53,0.0,5.223588535351351,3
Deschutes,41,2.0384219273395594,99.99999999999972,0
Pottawattamie,19,0.0,5.49039480089483,3
Christian,29,0.09469336138333175,100.00000000000027,3
Lamar,28,0.0,100.00000000000007,3
Ripley,18,0.0,0.0,3
Mercer,38,0.0,0.0,3
Hart,13,1.999999999999993,99.99999999999964,0
Jackson,22,1.9999999999999998,99.99999999999999,1
Northumberland,51,1.657725110268928,64.49853764377357,0
Fort Bend,48,0.0,85.20950240560839,3
Green Lake,55,0.0,0.0,3
Pondera,30,2.360190645581826,100.00000000000023,0
Walworth,55,0.0,99.99999999999967,3
